-6098,926,190
-6229,1004,190
-6897,1413,190
-7110,1552,190
-7181,1599,190
-7351,1710,190
-7514,1819,191
-7708,1951,191
-7854,2033,191
-8004,2094,191
-8107,2125,192
-8215,2144,193
-8327,2141,193
-8384,2126,193
-8448,2098,194
-8492,2071,194
-8596,1978,193
-8708,1846,193
-8751,1788,192
-8814,1696,192
-8868,1610,193
-8927,1511,193
-8987,1394,193
-9076,1205,195
-9156,1018,195
-9212,889,196
-9255,796,195
-9291,730,195
-9355,632,195
-9404,580,195
-9444,550,195
-9524,525,195
-9580,532,195
-9613,545,195
-9662,573,195
-9720,618,195
-9765,659,195
-9792,688,196
-9864,767,196
-9902,812,196
-9976,912,197
-10020,970,197
-10234,1230,199
-10356,1360,200
-10438,1439,201
-10521,1505,202
-10581,1545,203
-10722,1613,203
-10875,1654,203
-10992,1655,204
-11084,1631,203
-11231,1551,202
-11330,1460,202
-11412,1358,202
-11468,1279,202
-11526,1186,202
-11624,1014,202
-11717,833,203
-11762,743,203
-11879,513,203
-11992,293,203
-12087,112,204
-12175,-49,204
-12272,-225,204
-12326,-320,204
-12393,-441,204
-12519,-677,203
-12581,-789,204
-12666,-937,204
-12758,-1085,204
-12872,-1256,204
-12951,-1374,204
-13011,-1472,203
-13095,-1613,203
-13191,-1812,203
-13202,-1930,202
-13179,-2099,202
-13163,-2159,201
-13117,-2274,201
-13064,-2365,201
-13049,-2385,201
-12984,-2462,201
-12844,-2573,201
-12698,-2648,196
-12592,-2689,196
-12516,-2715,195
-12392,-2763,196
-12350,-2791,197
-12322,-2816,199
-12284,-2865,199
-12250,-2930,198
-12209,-3063,197
-12194,-3132,197
-12183,-3191,197
-12170,-3267,195
-12160,-3336,196
-12138,-3459,199
-12098,-3603,203
-12046,-3686,206
-11954,-3780,208
-11858,-3862,209
-11784,-3921,208
-11700,-3988,208
-11588,-4079,208
-11486,-4166,207
-11389,-4253,206
-11322,-4320,204
-11247,-4403,203
-11108,-4599,214
-11027,-4727,216
-10977,-4792,218
-10933,-4838,220
-10880,-4877,221
-10871,-4881,221
-10781,-4907,224
-10710,-4883,226
-10703,-4879,226
-10663,-4839,227
-10643,-4811,229
-10618,-4763,229
-10604,-4728,229
-10587,-4677,229
-10578,-4641,229
-10560,-4566,229
-10547,-4498,229
-10528,-4391,230
-10512,-4280,229
-10500,-4190,229
-10489,-4104,229
-10476,-3999,228
-10461,-3893,229
-10445,-3782,229
-10413,-3572,228
-10380,-3363,229
-10358,-3230,229
-10337,-3093,227
-10213,-2377,226
-10191,-2266,228
-10148,-2054,228
-10070,-1723,224
-9990,-1409,215
-9905,-1118,207
-9798,-790,201
-9727,-590,198
-9649,-381,197
-9593,-238,196
-9573,-189,195
-9548,-130,195
-9500,-34,195
-9469,12,195
-9430,59,195
-9393,89,195
-9324,121,195
-9269,128,194
-9220,125,193
-9167,112,193
-9130,98,193
-9053,58,192
-8994,19,192
-8907,-46,192
-8845,-96,191
-8735,-190,190
-8651,-262,189
-8604,-304,189
-8411,-485,189
-8381,-514,189
-8252,-637,188
-8177,-707,188
-8018,-848,189
-7943,-912,190
-7682,-1113,192
-7457,-1250,195
-7286,-1328,197
-7156,-1372,198
-7051,-1399,198
-6898,-1425,199
-6253,-1472,198
-6092,-1483,197
-5958,-1492,196
-5839,-1500,195
-5614,-1515,194
-5340,-1533,193
-5109,-1548,193
-4876,-1563,192
-4705,-1572,191
-4532,-1581,191
-4390,-1587,191
-4185,-1595,191
-4058,-1598,192
-3867,-1600,193
-3563,-1609,191
-3327,-1615,191
-3255,-1617,191
-3073,-1628,190
-2940,-1638,189
-2793,-1652,189
-2671,-1676,189
-2565,-1724,190
-2529,-1755,190
-2492,-1810,190
-2452,-1941,190
-2418,-2067,189
-2381,-2157,188
-2348,-2221,188
-2273,-2332,187
-2213,-2397,187
-2185,-2422,187
-2081,-2491,187
-1991,-2531,187
-1910,-2556,187
-1805,-2579,187
-1695,-2595,186
-1474,-2609,186
-1282,-2611,185
-1200,-2611,184
-1108,-2612,185
-967,-2615,184
-773,-2622,185
-584,-2630,184
-390,-2641,185
-272,-2650,185
-166,-2657,185
-31,-2666,186
78,-2672,186
240,-2673,187
366,-2663,187
494,-2636,187
631,-2578,186
661,-2560,187
849,-2395,188
985,-2209,189
1069,-2054,189
1155,-1802,188
1168,-1739,189
1196,-1427,189
1194,-1308,189
1179,-1110,189
1161,-960,189
1146,-860,188
1123,-721,188
